"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-26","3.80",,"0.35","0.0","0.0","82","93","76","   50","   50","21.0","25.1","    1",,"    1",,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-27","6.04",,"0.00","0.0","0.0","83","93","78","   90","  100","15.0","21.0",,,"    1",,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-28","6.26",,"0.03","0.0","0.0","82","92","76","  120","  120","23.9","31.1","    1",,"    1",,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-29","6.49",,"0.51","0.0","0.0","80","89","75","  120","  120","23.0","31.1","    1",,"    1",,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-30","6.04",,"0.26","0.0","0.0","81","90","77","   70","   80","25.9","33.1","    1",,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-31","8.95"," 1632","0.00","0.0","0.0","82","91","76","  100","   70","19.9","25.9",,,,,
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-26","2.46",,"1.97","0.0","0.0",,"93","76","   90","  110","30.0","36.9","    1","    1","    1",,"    1"
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-27","5.59",,"0.00","0.0","0.0",,"93","77","   60","   60","15.0","21.9",,,"    1",,
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-28","5.59",,"0.01","0.0","0.0",,"93","77","  100","   90","17.0","23.0",,,"    1",,
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-29","5.37",,"0.43","0.0","0.0",,"89","75","  110","  110","18.1","25.1","    1",,"    1",,"    1"
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-30","6.04",,"0.26","0.0","0.0",,"90","77","   60","   70","25.1","31.1","    1",,"    1",,"    1"
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-31","8.50"," 1428","0.00","0.0","0.0",,"92","77","   80","   80","19.9","25.1",,,,,
