carrier_code,destination_airport,yyyymm,flights,avg_dep_delay,avg_wx_delay,pct_delayed,risk_score
B6,DCA,2024-08,20,40.45,1,0.2500,16.68
B6,HPN,2024-08,24,15.54166667,0,0.2500,6.216666667
B6,RIC,2024-08,6,26.66666667,10.33333333,0.6667,13.99996667
B6,EWR,2024-08,23,12.47826087,2.217391304,0.3043,5.860904348
B6,LAX,2024-08,6,0.166666666666666,0,0.0000,0.0666666666666666
B6,SJU,2024-08,32,1.5,0,0.0938,0.6
B6,JFK,2024-08,53,23.60377358,0.924528301886792,0.3019,9.818909434
B6,BQN,2024-08,6,6.166666667,0,0.1667,2.466666667
B6,BDL,2024-08,12,4.416666667,0,0.1667,1.766666667
B6,ORH,2024-08,6,-3.333333333,0,0.0000,-1.333333333
B6,RDU,2024-08,6,39.66666667,6.166666667,0.6667,17.53336667
B6,BOS,2024-08,33,28.39393939,0.727272727272727,0.3636,11.66057576
B6,LGA,2024-08,29,14.37931034,1.413793103,0.3103,6.096524138
B6,SYR,2024-08,6,-5.833333333,0,0.0000,-2.333333333
B6,PSE,2024-08,6,43.83333333,0,0.6667,17.53333333
B6,ALB,2024-08,6,39.5,8,0.5000,17.4667
B6,PVD,2024-08,6,7.5,0,0.3333,3
B6,BUF,2024-08,6,21.83333333,0,0.3333,8.733333333
