"station","name","date","prcp","tmax","tmin","awnd","wsf2"
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-26 00:00:00","0.35",93,76,3.8,21
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-27 00:00:00","0",93,78,6.04,15
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-28 00:00:00","0.03",92,76,6.26,23.9
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-29 00:00:00","0.51",89,75,6.49,23
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-30 00:00:00","0.26",90,77,6.04,25.9
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","2024-08-31 00:00:00","0",91,76,8.95,19.9
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-26 00:00:00","1.97",93,76,2.46,30
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-27 00:00:00","0",93,77,5.59,15
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-28 00:00:00","0.01",93,77,5.59,17
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-29 00:00:00","0.43",89,75,5.37,18.1
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-30 00:00:00","0.26",90,77,6.04,25.1
"USW00012841","ORLANDO EXECUTIVE AIRPORT, FL US","2024-08-31 00:00:00","0",92,77,8.5,19.9
